Oldrand 4 MSBs,Oldrand 4 LSBs,Von-Neumann,Mesrene-Twister,AES
13,15,1615,1548409619,1439067565
15,12,822,2071418143,993324205
3,5,7568,2782197108,2318595575
11,10,2746,2424803105,2658390779
3,11,4051,4165368671,2480890417
9,8,4106,3060466333,1961219631
4,1,8592,2643194054,1195056280
11,6,8224,2161932834,2956254341
10,7,6341,3857456699,2871188533
7,4,2082,3458667581,1307598873
1,13,3472,1547093989,3133006030
10,2,547,3836750615,4027227511
5,3,9920,1174887813,550460089
5,0,4064,3471497437,1529265409
13,9,5160,163173348,3773870502
4,14,6256,3957150015,572140220
15,15,1375,4085200417,2653491534
8,12,9062,3138952204,4209300079
3,5,1198,230210574,1196636260
4,10,3520,3681231322,653119673
12,11,3904,1614537550,4085176329
1,8,2412,2952331447,1167596081
6,1,1774,217154001,4149711383
13,6,4707,1668841200,2874169795
3,7,1558,2811456052,752040273
2,4,2736,1594978507,2743294045
9,13,8569,426024776,29645428
10,2,4277,1993450550,2816610835
6,3,2927,349809991,837323960
13,0,6732,2237595979,3119948025
6,9,3198,367033163,2714547
11,14,2272,172983279,320952258
6,15,6198,2681365849,1459290256
15,12,4152,1988726733,956415539
14,5,2391,3468111728,1324845745
8,10,1688,1911278555,4189327457
12,11,4934,2259429278,3354682850
11,8,3443,2792901641,2944733610
15,1,8542,2843677276,41529020
3,6,9657,1156150602,3335210869
11,7,2576,17267787,2167489327
3,4,3577,2458413698,1908885968
13,13,7949,334661276,325915740
2,2,1866,787681816,243200291
2,3,8195,1760698429,2870680212
7,0,1580,815691299,4143494161
5,9,9640,3943443989,651436617
6,14,9296,494799039,3510326181
5,15,4156,2297386226,3058894789
3,12,2723,3250858407,776781868
12,5,1472,2795989257,199833784
11,10,6678,96019092,1594237487
14,11,5956,3514805852,3977809538
4,8,4739,1492441309,1014180335
15,1,4581,2814782322,1663722201
7,6,9855,3630236599,3805658372
3,7,1210,2203684358,2246281986
8,4,6410,162580442,3615835617
5,13,881,1312876160,3966950967
12,2,7616,3794398177,3426161776
4,3,34,1358209035,3629297995
8,0,1156,4167778478,1645793093
12,9,3633,722276038,1543845526
1,14,1986,845952267,2030227324
6,15,4419,3377994857,3950819688
13,12,5275,1607074121,3633396289
6,5,8256,3281753446,2484422480
15,10,1615,3958730326,1836191159
8,11,822,2520409100,1241038789
2,8,7568,265134148,4136120472
3,1,2746,3828251865,3765832536
11,6,4051,1480060245,3601523932
4,7,4106,3551032509,3255394670
11,4,8592,469713407,469399830
1,13,8224,3178706125,2013398338
15,2,6341,2438107373,756284537
11,3,2082,336792055,2599973482
2,0,3472,4231010257,2248556933
3,9,547,2333053567,1676623286
12,14,9920,2858881178,3327188551
6,15,4064,310570585,1254532295
13,12,5160,1740244614,1172383528
6,5,6256,2899143152,1289731380
10,10,1375,1104932153,1255931019
7,11,9062,4126416743,3045800492
11,8,1198,2908618492,1827020306
11,1,3520,364170716,3363231860
4,6,3904,2443047936,3140211624
12,7,2412,3219238846,1538376540
13,4,1774,3499709916,3670618006
6,13,4707,2247903043,1499434994
3,2,1558,478675106,1085792712
2,3,2736,2918226083,2741825326
8,0,8569,4105471285,1315341227
10,9,4277,4208425814,1367718453
2,14,2927,1601975463,3490134186
9,15,6732,4241999897,2147517791
7,12,3198,483270295,1255007023
3,5,2272,34950930,582693138
2,10,6198,2261109861,3326969475
14,11,4152,3426924179,1741167225
11,8,2391,2938042582,3197842618
2,1,1688,1616182446,2328981695
9,6,4934,3212287685,3478195205
7,7,3443,3186687834,3448799553
11,4,8542,2635381587,2816158924
0,13,9657,70851378,1670802415
5,2,2576,3538541039,671767264
7,3,3577,4145301481,586592725
8,0,7949,901724307,3607418219
4,9,1866,3787339720,2759089936
15,14,8195,1914163262,1493409078
15,15,1580,1049109242,2961449504
0,12,9640,2199905059,3108514636
14,5,9296,2492766311,3177924588
12,10,4156,2967875644,4053858395
7,11,2723,3491903917,3726787065
8,8,1472,954940833,2536320014
15,1,6678,3970846940,1949619982
15,6,5956,1544573146,1551743484
4,7,4739,1842494185,3890276025
2,4,4581,957274549,4283547959
11,13,9855,3035633919,4202406251
2,2,1210,261447498,2981580171
10,3,6410,357342407,3963314287
13,0,881,846008174,4094050394
5,9,7616,3167198475,2528203105
5,14,34,1957563504,3426838785
10,15,1156,1911229391,4091677371
15,12,3633,3274129914,3143880948
4,5,1986,277615386,1779994750
6,10,4419,355660907,853233842
10,11,5275,308483256,1243159634
14,8,8256,1177790024,50712664
15,1,1615,397823748,3452066541
12,6,822,3114065093,71875702
14,7,7568,1568442274,2327163843
6,4,2746,2526413413,1748166046
5,13,4051,1272243335,3995844810
7,2,4106,3054490345,2784376562
14,3,8592,2705870843,3790373065
8,0,8224,675484467,2505567408
3,9,6341,66957900,719646725
3,14,2082,3978842257,2866738753
7,15,3472,2142838310,2695288122
9,12,547,1963013976,685602890
8,5,9920,497868798,1813996732
14,10,4064,470277899,2892735263
3,11,5160,3046356651,4016793161
12,8,6256,3108559974,713774027
10,1,1375,192970806,3349820006
12,6,9062,4082446377,77956690
12,7,1198,1235399495,3352597219
11,4,3520,771269318,3232366277
11,13,3904,2977763700,4233263565
13,2,2412,1403993438,265521345
6,3,1774,1369075026,2840664135
5,0,4707,1896114325,38430114
1,9,1558,1309502623,1788009722
10,14,2736,63311528,1099022877
14,15,8569,81969639,3100463528
0,12,4277,2125595862,2321763754
1,5,2927,2644589037,2125041049
4,10,6732,985945105,3717119731
10,11,3198,2533705430,2677329914
3,8,2272,292016501,3573586341
10,1,6198,2910377906,51931474
11,6,4152,3770386309,3907765753
15,7,2391,223686691,145419842
6,4,1688,854515946,32129858
4,13,4934,4084861733,3608902687
10,2,3443,4279625534,888203838
15,3,8542,2617702287,3581506127
0,0,9657,1989471793,1549328305
13,9,2576,2300011425,190689092
5,14,3577,588544746,387965844
1,15,7949,4049618507,787020896
14,12,1866,2364023400,378682145
13,5,8195,3969201925,1104353136
2,10,1580,871039516,1789007589
4,11,9640,236208465,259685111
5,8,9296,196158272,3839617132
14,1,4156,2115267661,1965485054
8,6,2723,1848132012,1503935342
15,7,1472,3923014496,2265435462
5,4,6678,1540481807,3794878365
4,13,5956,4244901698,4063403020
11,2,4739,3735886835,1791524586
5,3,4581,1642303070,1032023452
12,0,9855,4145344097,440248740
0,9,1210,1180246682,3998302119
11,14,6410,3532360420,3725146437
7,15,881,2316154990,2918642692
8,12,7616,3599101238,2161680077
8,5,34,2972423843,1823943243
3,10,1156,715348590,761476502
15,11,3633,84379400,536609941
15,8,1986,231584430,215586668
5,1,4419,1960409968,3711171554
10,6,5275,4094440142,138409862
11,7,8256,208084814,863564378
7,4,1615,539809900,84586976
7,13,822,3969975737,1958297351
5,2,7568,3736647830,3174051468
10,3,2746,3383860494,1729557950
9,0,4051,2094839029,1189497353
11,9,4106,4270777380,62030215
10,14,8592,3563107104,939743306
13,15,8224,3383838855,1019159454
7,12,6341,3489052248,1956286606
1,5,2082,3831569960,3976067524
7,10,3472,1103587817,3591902192
4,11,547,3757782410,2033574542
14,8,9920,3087987989,4050965480
12,1,4064,3793507011,355343053
9,6,5160,2550750020,2046423457
6,7,6256,2765302247,4288856735
15,4,1375,1493170976,1531438103
14,13,9062,3119587603,2859834203
2,2,1198,4264586489,233034351
10,3,3520,3370575637,2932792773
9,0,3904,285357649,3614408517
5,9,2412,2789025080,376887503
10,14,1774,2664555521,2884749522
1,15,4707,2807305753,1365199822
11,12,1558,2081436817,4070133044
0,5,2736,2897357085,481637845
12,10,8569,705636542,4037394535
0,11,4277,3090911544,1429913791
4,8,2927,3319444596,3145370191
0,1,6732,60046630,575214602
3,6,3198,4288517263,754895326
1,7,2272,423015373,1271740911
13,4,6198,3807922809,1952424676
0,13,4152,376719510,2098568795
0,2,2391,3474587266,832695486
4,3,1688,1362770028,1715192060
10,0,4934,2391472382,2525611968
9,9,3443,2542700452,2946348696
4,14,8542,4018748055,142563671
4,15,9657,397365165,1775514684
2,12,2576,561340520,2665887531
12,5,3577,1704829336,3274363699
1,10,7949,1869432439,2100045039
4,11,1866,4274487619,709348983
0,8,8195,68506724,2319783357
5,1,1580,3588718011,930385182
0,6,9640,2492740549,2820996296
2,7,9296,2266559683,1859517204
1,4,4156,4086259786,3200032067
5,13,2723,3869604042,1395659892
12,2,1472,4291839123,422655010
11,3,6678,2137766880,1125691932
5,0,5956,712425775,4294776564
3,9,4739,3953545705,2447007856
5,14,4581,2030148560,1844600311
4,15,9855,775918469,2459683933
2,12,1210,1610058404,1248207022
5,5,6410,4043716028,490116993
12,10,881,2044700496,487560133
4,11,7616,227236259,2145945257
2,8,34,2128135097,1697849215
11,1,1156,227507350,4195684161
11,6,3633,1343429956,3450392125
10,7,1986,2813045753,612942309
2,4,4419,1984550057,895228531
8,13,5275,3001777729,3369299893
5,2,8256,3179358991,3296581361
4,3,1615,2875104036,3910946645
9,0,822,1772590959,1673292732
0,9,7568,2567772799,2375487201
10,14,2746,2781714262,1725809427
12,15,4051,1925568043,1571340457
5,12,4106,2015963163,2272229857
1,5,8592,3684131631,4186346284
3,10,8224,3869049864,3922177901
5,11,6341,3494219827,1061170033
2,8,2082,3293268997,123756699
8,1,3472,2105312580,277994678
6,6,547,4234931780,575267297
4,7,9920,705423757,3629713057
5,4,4064,615080822,3846445788
0,13,5160,2449856325,3160701998
3,2,6256,214277388,668210096
2,3,1375,3675842112,1380139468
2,0,9062,1783234878,1678364009
10,9,1198,3298113670,3025296186
1,14,3520,879937707,155345291
3,15,3904,2760148140,534763484
12,12,2412,2912433547,3870171154
13,5,1774,2876636667,2584675662
14,10,4707,3769390272,2187206599
9,11,1558,2782007571,1573330812
6,8,2736,3272755946,3185073287
6,1,8569,3471264535,2728758652
1,6,4277,1001954068,620086928
9,7,2927,366009349,146401205
3,4,6732,2407859898,2244928893
1,13,3198,298747336,3089552253
14,2,2272,2311043409,2697389438
5,3,6198,3278263497,1932485400
9,0,4152,3822277345,1163826424
9,9,2391,593153212,1746214633
1,14,1688,3704596210,4166150523
7,15,4934,2315454527,185907678
10,12,3443,1680794764,3766471814
9,5,8542,2267303071,3322284893
2,10,9657,1005411039,926748294
14,11,2576,3562145368,3700317889
7,8,3577,4038436310,1222196957
4,1,7949,1320836097,2134677364
0,6,1866,3557579190,2755418807
5,7,8195,480410992,3461115036
13,4,1580,364468089,4111122502
10,13,9640,1217610238,1599903754
3,2,9296,434531991,296582766
11,3,4156,873629133,361427303
1,0,2723,2372498823,151178007
13,9,1472,966734869,3693575376
14,14,6678,3168927631,1640830764
14,15,5956,3288335557,2053769524
15,12,4739,1860781531,2726839790
5,5,4581,4105030094,468179190
2,10,9855,2219704037,1146562289
14,11,1210,1508472454,2487225601
10,8,6410,774265883,978138062
0,1,881,214958661,1406325916
14,6,7616,2435474713,1460048384
14,7,34,2346666592,2586791511
5,4,1156,2421816974,856647165
2,13,3633,2643971690,3910419212
9,2,1986,2715866822,3679850283
7,3,4419,1996154121,1031697461
10,0,5275,3539342589,1843739399
14,9,8256,4119297371,4203323798
4,14,1615,3996334162,1073913876
1,15,822,1955886283,1423778598
14,12,7568,1613630861,1605934418
3,5,2746,968256041,4247612049
7,10,4051,1933784569,1645409862
10,11,4106,3420871726,372062063
2,8,8592,4010655065,3479915395
8,1,8224,1930301936,2577214519
8,6,6341,3662288792,4115034843
11,7,2082,652726648,1540595502
0,4,3472,1313181140,2727790923
8,13,547,1595381123,644442613
9,2,9920,3843929419,879434138
7,3,4064,2917762041,2702963456
3,0,5160,3940579319,3104977770
11,9,6256,1730780116,252730667
6,14,1375,748833254,3613463616
14,15,9062,4200751707,3667090146
3,12,1198,3138234107,2969306336
1,5,3520,3121217775,1877187306
7,10,3904,634452981,2250803527
8,11,2412,578978366,932536919
8,8,1774,463219329,1047141064
7,1,4707,831278754,1686249456
1,6,1558,2799792148,2977504450
5,7,2736,3342207180,2198918743
0,4,8569,3761860137,1519762706
13,13,4277,3159421246,3290503680
4,2,2927,3121861114,3120881248
12,3,6732,1256406841,3428191299
8,0,3198,3941810943,2762595154
7,9,2272,2828911662,147886392
9,14,6198,175220021,1333072479
3,15,4152,1264680043,2174743114
8,12,2391,4286442387,3405256384
8,5,1688,2453872171,719855024
9,10,4934,3304110011,3136463909
4,11,3443,3725959966,1024051791
2,8,8542,702143574,2342035105
3,1,9657,407298801,650412433
7,6,2576,3807357558,978136023
6,7,3577,2620773034,2448718508
9,4,7949,852477884,1913521248
6,13,1866,406179090,539496099
5,2,8195,1386526082,1876461778
11,3,1580,951076177,1601346257
3,0,9640,3498142399,4080071147
6,9,9296,994224192,2322817338
10,14,4156,2261640272,3258596340
11,15,2723,215486451,2240783223
10,12,1472,4147630843,1067593859
11,5,6678,1530470319,2944934613
14,10,5956,2021585281,150190272
12,11,4739,4179281445,707213170
5,8,4581,1494905836,2451886728
10,1,9855,764265758,2689110004
7,6,1210,1791833594,271788907
5,7,6410,2930271977,3394712142
5,4,881,4167961443,110204466
8,13,7616,3228497327,818344154
14,2,34,1890580073,3545836547
9,3,1156,2040563581,663405222
0,0,3633,872216312,1579757902
12,9,1986,2145737206,3611970876
0,14,4419,3211661641,177309316
15,15,5275,541961774,2753139862
1,12,8256,1858830511,834481752
6,5,1615,2682464317,2140610288
3,10,822,741149978,1932524694
13,11,7568,2962706078,4108600255
2,8,2746,2052079496,1060973017
2,1,4051,3821139545,849443982
10,6,4106,2012985321,3024639885
4,7,8592,3616953087,77910434
11,4,8224,1517118649,266352015
6,13,6341,3569978879,1957185204
7,2,2082,2743735694,3538800284
13,3,3472,3903543406,3212667338
11,0,547,617568519,2146642743
12,9,9920,4192616886,2208433480
6,14,4064,766293519,4268285435
5,15,5160,1432275432,3756413070
7,12,6256,1538668705,137965242
8,5,1375,1477786499,2474572994
10,10,9062,1647121285,1867137931
5,11,1198,2002883986,258193439
4,8,3520,581618798,2296197962
6,1,3904,1113733189,3341313237
4,6,2412,7063320,506822534
0,7,1774,1499615984,3156371483
7,4,4707,4241044128,3315001770
1,13,1558,1649569294,2926195535
8,2,2736,2915163595,1506839962
9,3,8569,1432449934,1258177168
11,0,4277,792648011,1876425413
4,9,2927,2670473264,3810802424
1,14,6732,3302167941,3250900764
7,15,3198,1350987934,1213802930
10,12,2272,2676512439,2315309825
5,5,6198,250995444,3829706951
0,10,4152,1074190760,555807975
11,11,2391,2624531011,3353338294
13,8,1688,1940545827,3624335020
3,1,4934,713454222,2514696887
13,6,3443,3966896970,284177828
13,7,8542,306827713,3499272616
13,4,9657,511453344,3340265597
4,13,2576,3073524955,873561565
0,2,3577,1675427638,2807338924
9,3,7949,1017786691,2978114177
2,0,1866,2649405682,4112970640
12,9,8195,614632986,545375470
2,14,1580,3150981179,3103168062
9,15,9640,1068517487,3842146743
6,12,9296,4218939181,1785570710
2,5,4156,943711421,3141187270
0,10,2723,591827505,711580755
1,11,1472,518256659,255616132
6,8,6678,869454416,2238532011
7,1,5956,292860399,2599595619
6,6,4739,294219161,4217376164
4,7,4581,3706687230,2489131326
1,4,9855,2178747521,2354564573
1,13,1210,2251186048,3660391526
6,2,6410,3771538807,312089309
7,3,881,3701457959,1992643936
13,0,7616,3208700671,716154586
6,9,34,429072052,2516983153
15,14,1156,4227776108,1854655726
3,15,3633,448196526,181289323
8,12,1986,990998405,2744348214
4,5,4419,4198098053,3117836782
12,10,5275,1063385381,4143830900
3,11,8256,3289562518,3385827251
10,8,1615,1454177594,2253099079
2,1,822,1590099716,2863370525
1,6,7568,3854478525,2300793102
3,7,2746,478700781,274196707
12,4,4051,174261640,1576423373
2,13,4106,2459533627,3590160571
4,2,8592,3973932531,3100567200
14,3,8224,1298956872,2550200647
13,0,6341,2500860855,3888857424
6,9,2082,479840916,2686927623
11,14,3472,2217829485,2201924420
0,15,547,73953936,2849181624
6,12,9920,1766096441,56101727
11,5,4064,2408543336,2372318591
4,10,5160,3962581112,2581320362
2,11,6256,2358699525,1043525824
9,8,1375,3273300079,18523831
12,1,9062,791511434,4128616042
4,6,1198,484302551,2669672045
10,7,3520,156771032,1252206629
1,4,3904,167575425,3363088362
5,13,2412,1174221692,3801756184
11,2,1774,6984165,2133101345
3,3,4707,418092907,1249750587
12,0,1558,327029284,583830025
8,9,2736,431341529,3353748489
6,14,8569,2462158446,3160814940
11,15,4277,1680730687,185220869
5,12,2927,557811724,4097244312
7,5,6732,1194050169,2426904432
8,10,3198,550495800,1165772891
3,11,2272,4090137811,2108187094
15,8,6198,550888478,266957725
11,1,4152,2044724379,2575816138
2,6,2391,1250530955,3601427725
7,7,1688,3212489343,1216865112
8,4,4934,2471805401,3363950447
9,13,3443,2852124,1655849973
9,2,8542,247331652,2009208948
13,3,9657,3133140723,2266454025
0,0,2576,844175160,600799932
8,9,3577,2856722629,2765323774
10,14,7949,2069532406,112444833
14,15,1866,1124886708,1340329164
13,12,8195,40272815,2727501562
13,5,1580,2438461431,1892755319
15,10,9640,2035412062,1456620921
13,11,9296,1023800674,960742151
9,8,4156,836632363,2359481655
14,1,2723,1453561381,1951451317
15,6,1472,1609467895,1481491604
8,7,6678,2464785643,477251428
14,4,5956,2258326775,2957413310
1,13,4739,2642075593,357364587
13,2,4581,1737607589,3504333194
3,3,9855,1482536675,523686056
7,0,1210,4097007443,1188501936
2,9,6410,1692579065,1643747304
11,14,881,1085419003,4061433479
0,15,7616,4289739903,3524933727
2,12,34,1957162054,2187321085
12,5,1156,4097655287,482378428
2,10,3633,2916122519,3676750432
7,11,1986,812797213,56215109
14,8,4419,1715016263,2890756426
11,1,5275,3756305764,951645525
7,6,8256,2332439297,1023401603
3,7,1615,963348219,2864513430
12,4,822,2262887933,2190942568
11,13,7568,4150773908,2060864667
3,2,2746,2710198619,2004347778
12,3,4051,2086913854,296925758
